"year","name","rating"
2017,"Tools of Titans: The Tactics, Routines, and Habits of Billionaires, Icons, and World-Class Performers",4.6
2017,"Astrophysics for People in a Hurry",4.7
2017,"You Are a Badass: How to Stop Doubting Your Greatness and Start Living an Awesome Life",4.7
2017,"What Happened",4.6
2017,"Publication Manual of the American Psychological Association, 6th Edition",4.5
2017,"Puppy Birthday to You! (Paw Patrol) (Little Golden Book)",4.8
2017,"Ready Player One: A Novel",4.6
2017,"Player's Handbook (Dungeons & Dragons)",4.8
2017,"Origin: A Novel (Robert Langdon)",4.3
2018,"The Subtle Art of Not Giving a F*ck: A Counterintuitive Approach to Living a Good Life",4.6
2018,"Instant Pot Pressure Cooker Cookbook: 500 Everyday Recipes for Beginners and Advanced Users. Try Easy and Healthy…",4.4
2018,"Dog Man and Cat Kid: From the Creator of Captain Underpants (Dog Man #4)",4.9
2018,"The Pout-Pout Fish",4.8
2018,"Becoming",4.8
2018,"The Complete Ketogenic Diet for Beginners: Your Essential Guide to Living the Keto Lifestyle",4.3
